City,State Abbreviation,Total Listings,Keyword,Top Keyword Monthly Searches,corporate_monthly_searches,furnished_monthly_searches,short term_monthly_searches,month_monthly_searches,sublet_monthly_searches,by owner_monthly_searches,landlord_monthly_searches,Average Monthly Searches_corporate_monthly_searches,Average Monthly Searches_furnished_monthly_searches,Average Monthly Searches_short term_monthly_searches,Average Monthly Searches_month_monthly_searches,Average Monthly Searches_sublet_monthly_searches,Average Monthly Searches_by owner_monthly_searches,Average Monthly Searches_landlord_monthly_searches
San Francisco,CA,1031,short term rentals san francisco,1900,,,,,,,,590.0,1600.0,1900.0,480.0,50.0,10.0,
San Jose,CA,621,short term rental san jose,720,,,,,,,,170.0,390.0,720.0,140.0,10.0,320.0,
San Luis Obispo,CA,160,short term rentals san luis obispo,170,,,,,,,,0.0,40.0,170.0,20.0,10.0,140.0,
San Mateo,CA,98,short term rentals san mateo,170,,,,,,,,30.0,70.0,170.0,10.0,10.0,50.0,
Sanford,FL,39,short term furnished rentals sanford fl,10,,,,,,,,0.0,10.0,10.0,10.0,0.0,0.0,
Sanibel,FL,3,sanibel monthly rentals,390,,,,,,,,0.0,0.0,10.0,390.0,0.0,20.0,
Santa Barbara,CA,303,santa barbara short term rental,480,,,,,,,,30.0,70.0,480.0,140.0,50.0,10.0,
Santa Cruz,CA,182,short term rentals santa cruz ca,320,,,,,,,,10.0,10.0,320.0,110.0,0.0,50.0,
Santa Fe,NM,388,houses for rent by owner santa fe,4400,,,,,,,,40.0,210.0,720.0,260.0,0.0,4400.0,
Santa Monica,CA,111,short term furnished rentals santa monica,720,,,,,,,,260.0,720.0,720.0,90.0,210.0,10.0,
Santa Rosa Beach,FL,41,long term rentals santa rosa beach fl,260,,,,,,,,0.0,0.0,20.0,30.0,0.0,40.0,
Sarasota,FL,435,rental houses in sarasota fl,8100,,,,,,,,50.0,260.0,880.0,390.0,10.0,480.0,
Satellite Beach,FL,26,houses for rent in satellite beach by owner,30,,,,,,,,0.0,0.0,20.0,10.0,0.0,30.0,
Satsuma,FL,2,satsuma fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Scottsdale,AZ,800,scottsdale az short term rentals,1000,,,,,,,,210.0,590.0,1000.0,390.0,10.0,260.0,
Seal Beach,CA,13,seal beach ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Seaside,CA,49,houses for rent seaside ca by owner,30,,,,,,,,0.0,10.0,0.0,0.0,0.0,30.0,
Seattle,WA,1996,seattle short term rentals,2400,,,,,,,,480.0,1300.0,2400.0,590.0,880.0,590.0,
Sebastian,FL,43,monthly rentals sebastian florida,40,,,,,,,,0.0,0.0,10.0,40.0,0.0,40.0,
Sebring,FL,70,houses for rent by owner in sebring fl,1600,,,,,,,,0.0,10.0,30.0,50.0,0.0,1600.0,
Seffner,FL,11,seffner fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Seminole,FL,44,for rent by owner seminole fl,70,,,,,,,,0.0,0.0,0.0,0.0,0.0,70.0,
Shalimar,FL,7,for rent by owner shalimar fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Siesta Key,FL,10,furnished apartments for rent in siesta key fl,10,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,
Silver Springs,FL,6,silver springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Sneads,FL,1,sneads fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Somerville,MA,63,sublet somerville ma,40,,,,,,,,0.0,10.0,0.0,0.0,40.0,40.0,
Sorrento,FL,1,for rent by owner sorrento fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
South Daytona,FL,8,south daytona fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
South Lake Tahoe,CA,166,long term rentals south lake tahoe,590,,,,,,,,0.0,10.0,210.0,110.0,0.0,0.0,
South Pasadena,FL,9,south pasadena fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Southampton,NY,6,southampton ny rentals by owner,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Southold,NY,2,southold ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Southwest Ranches,FL,2,southwest ranches fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Spokane,WA,455,spokane houses for rent by owner,880,,,,,,,,0.0,170.0,390.0,210.0,0.0,880.0,40.0
Spring Hill,FL,51,houses for rent by owner in spring hill fl,3600,,,,,,,,0.0,0.0,0.0,30.0,0.0,3600.0,
Springfield,MO,248,houses for rent by owner in springfield mo,8100,,,,,,,,0.0,260.0,170.0,170.0,0.0,8100.0,170.0
St. Lucie,FL,2,short term rentals port st lucie,260,,,,,,,,0.0,50.0,260.0,50.0,0.0,260.0,
Steamboat Springs,CO,59,steamboat springs long term rentals,390,,,,,,,,0.0,10.0,140.0,110.0,0.0,10.0,
Steinhatchee,FL,1,steinhatchee fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Stuart,FL,69,houses for rent by owner stuart fl,1900,,,,,,,,0.0,40.0,110.0,110.0,0.0,1900.0,
Summerfield,FL,13,summerfield fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Summerland Key,FL,2,summerland key fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Sumterville,FL,1,sumterville fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Sun City Center,FL,9,kings point sun city center rentals by owner,20,,,,,,,,0.0,0.0,0.0,10.0,0.0,20.0,
Sunny Isles Beach,FL,13,sunny isles short term rentals,170,,,,,,,,0.0,10.0,170.0,10.0,0.0,0.0,
Sunnyvale,CA,62,sunnyvale furnished apartments,140,,,,,,,,70.0,140.0,140.0,20.0,0.0,10.0,
Sunrise,FL,21,house for rent by owner in sunrise fl,170,,,,,,,,0.0,0.0,30.0,0.0,0.0,170.0,
Surfside,FL,2,monthly rentals in surfside florida,10,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Tallahassee,FL,258,houses for rent by owner tallahassee,12100,,,,,,,,70.0,480.0,320.0,110.0,0.0,12100.0,40.0
Tamarac,FL,21,apartment for rent by owner in tamarac,70,,,,,,,,0.0,0.0,0.0,0.0,0.0,70.0,
Tampa,FL,631,frbo tampa,2900,,,,,,,,480.0,880.0,1600.0,720.0,260.0,880.0,210.0
Taos,NM,62,taos rentals long term,260,,,,,,,,0.0,10.0,20.0,70.0,0.0,140.0,
Tarpon Springs,FL,39,tarpon springs rentals by owner,170,,,,,,,,0.0,10.0,20.0,10.0,0.0,170.0,
Tavares,FL,5,houses for rent by owner in tavares fl,880,,,,,,,,0.0,10.0,0.0,0.0,0.0,880.0,
Tavernier,FL,8,tavernier fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Temple Terrace,FL,14,houses for rent by owner in temple terrace,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Tequesta,FL,1,for rent by owner tequesta fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Terra Ceia,FL,1,terra ceia fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
The Villages,FL,64,houses for rent by owner the villages fl,3600,,,,,,,,0.0,140.0,210.0,1600.0,0.0,3600.0,
Thonotosassa,FL,2,for rent by owner thonotosassa fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Tierra Verde,FL,2,tierra verde fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Titusville,FL,31,private owner rentals in titusville fl,260,,,,,,,,0.0,10.0,40.0,0.0,0.0,20.0,
Torrance,CA,87,houses for rent by owner in torrance,3600,,,,,,,,10.0,40.0,110.0,0.0,0.0,3600.0,
Treasure Island,FL,29,monthly rentals in treasure island florida,140,,,,,,,,0.0,0.0,10.0,140.0,0.0,30.0,
Trenton,FL,3,trenton fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Truckee,CA,42,long term rentals in truckee ca,320,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,
Tucson,AZ,1216,furnished apartments in tucson az,1000,,,,,,,,140.0,1000.0,1000.0,590.0,0.0,1000.0,
Tulsa,OK,314,tulsa houses for rent by owner,12100,,,,,,,,110.0,320.0,320.0,110.0,0.0,12100.0,
Twentynine Palms,CA,23,houses for rent by owner in 29 palms ca,880,,,,,,,,0.0,0.0,0.0,0.0,0.0,880.0,
Umatilla,FL,3,for rent by owner umatilla fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Vail,CO,5,vacation rental by owner vail colorado,480,,,,,,,,0.0,0.0,90.0,50.0,0.0,480.0,
Valparaiso,FL,2,valparaiso fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Valrico,FL,21,houses for rent in valrico fl by owner,40,,,,,,,,0.0,0.0,0.0,0.0,0.0,40.0,
Vancouver,WA,289,houses for rent in vancouver wa by owner,320,,,,,,,,30.0,50.0,260.0,70.0,0.0,320.0,40.0
Venice,FL,129,winter rentals in venice florida,390,,,,,,,,0.0,30.0,260.0,210.0,0.0,0.0,
Vero Beach,FL,105,vero beach short term rentals,320,,,,,,,,0.0,40.0,320.0,260.0,0.0,0.0,
Visalia,CA,134,houses for rent in visalia by owner,590,,,,,,,,0.0,20.0,30.0,0.0,0.0,590.0,
Wabasso,FL,1,wabasso fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Watkins Glen,NY,12,watkins glen ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Wauchula,FL,2,for rent by owner wauchula fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Weeki Wachee,FL,11,houses for rent in weeki wachee fl by owner,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Weirsdale,FL,3,weirsdale fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Welaka,FL,1,welaka fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Wellington,FL,30,houses for rent by owner in wellington fl,1600,,,,,,,,0.0,10.0,90.0,10.0,0.0,1600.0,
Wesley Chapel,FL,40,wesley chapel homes for rent by owner,210,,,,,,,,0.0,10.0,90.0,0.0,0.0,210.0,
West Hollywood,CA,59,west hollywood furnished apartments,320,,,,,,,,40.0,320.0,210.0,0.0,0.0,0.0,
West Hurley,NY,2,west hurley ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
West Melbourne,FL,6,west melbourne fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
West Palm Beach,FL,207,short term rentals west palm beach,590,,,,,,,,70.0,210.0,590.0,210.0,40.0,140.0,
West Park,FL,7,west park fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Westminster,CA,31,houses for rent by owner in westminster ca,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Weston,FL,17,house for rent in weston fl by owner,30,,,,,,,,10.0,10.0,20.0,10.0,0.0,30.0,
Wheat Ridge,CO,101,for rent by owner wheat ridge co,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Wildwood,FL,6,monthly rentals in wildwood fl,40,,,,,,,,0.0,0.0,0.0,40.0,0.0,10.0,
Williston,FL,1,williston fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Wilson,NY,1,wilson ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Wilton Manors,FL,12,wilton manors apartments for rent by owner,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Wimauma,FL,8,for rent by owner wimauma fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Windermere,FL,11,homes for rent in windermere fl by owner,110,,,,,,,,0.0,10.0,0.0,0.0,0.0,110.0,
Winter Garden,FL,11,houses for rent by owner in winter garden fl,3600,,,,,,,,0.0,10.0,30.0,10.0,0.0,3600.0,
Winter Haven,FL,68,house for rent by owner winter haven fl,4400,,,,,,,,0.0,20.0,50.0,30.0,0.0,4400.0,
Winter Park,FL,67,short term rentals winter park fl,590,,,,,,,,10.0,30.0,590.0,10.0,0.0,70.0,
Winter Springs,FL,11,houses for rent in winter springs by owner,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Woodland Hills,CA,79,furnished apartments in woodland hills ca,140,,,,,,,,30.0,140.0,50.0,0.0,0.0,0.0,
Yankeetown,FL,2,yankeetown fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Youngstown,FL,1,for rent by owner youngstown fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Yountville,CA,5,yountville ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Yulee,FL,11,short term rentals yulee fl,20,,,,,,,,0.0,0.0,20.0,20.0,0.0,0.0,
Zellwood,FL,1,zellwood fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Zephyrhills,FL,23,zephyrhills fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
